parametro,valor
fr_n_estimators,343.22645682249555
imputer_strategy,0.43115952814037106
knn_imputer,0.6402462279969465
knn_imputer_k,3.6712152302275993
model_C,0.5936559548003199
model_alpha,0.31075878451129096
model_batch_size,9.951624731227188
model_hidden_layer_size_exp,5.592426916913311
model_lr_init,0.2484525584118299
model_max_iter,157.92928642337904
model_penalty,0.8800203947160311
model_pos_class_weight,92.90313921598351
model_solver,0.533455602799121
pca_components,5.26435630200545
scaler_choice,0.8507986348271928
tree_depth,4.764453356391396
